species,decimalLatitude,decimalLongitude
Libellula luctuosa,39.071389,-94.92535
Plathemis lydia,40.904543,-72.672531
Calopteryx maculata,39.21277,-76.914
Libellula incesta,31.45519,-93.19427
Plathemis lydia,38.95405,-95.14884
Aeshna palmata,42.098156,-122.481041
Aeshna umbrosa,44.19,-73.0899
Sympetrum vicinum,39.54575,-75.743795
Argia fumipennis,42.31485,-71.372
Plathemis lydia,38.571924,-76.573634
Plathemis lydia,38.3841,-76.43418
Hetaerina americana,36.71102,-114.71164
Hetaerina americana,29.36701,-100.8802
Libellula cyanea,39.584556,-74.901926
Argia moesta,31.803138,-100.943426
Libellula luctuosa,32.307621,-95.215466
Argia apicalis,42.31828,-89.3634
Calopteryx maculata,34.466766,-78.641365
Libellula luctuosa,35.983183,-88.887997
Plathemis lydia,39.249218,-75.85974
Plathemis lydia,41.956394,-83.946008
Libellula luctuosa,42.670921,-82.396064
Plathemis lydia,39.0701,-77.44808
Sympetrum ambiguum,39.20233,-74.81089
Argia apicalis,34.35633,-86.19616
Plathemis lydia,44.46228,-73.05343
Plathemis lydia,40.487471,-78.275454
Aeshna umbrosa,43.207128,-81.967904
Plathemis lydia,39.10577,-74.82642
Plathemis lydia,39.017945,-77.40592
Libellula luctuosa,42.20005,-88.95596
Libellula pulchella,42.41826,-122.80123
Hetaerina titia,34.40387,-82.23874
Hetaerina americana,39.49624,-75.07624
Calopteryx aequabilis,45.716444,-88.235635
Hetaerina americana,41.16258,-87.65624
Calopteryx aequabilis,42.546006,-76.266494
Aeshna constricta,42.33114,-89.06346
Libellula luctuosa,31.0206,-87.684
Libellula pulchella,44.898595,-93.197094
Libellula luctuosa,43.300507,-80.363035
Sympetrum semicinctum,48.88533,-109.39363
Plathemis lydia,44.15531,-73.14143
Libellula incesta,41.10336,-75.60232
Argia tibialis,41.285146,-84.776493
Calopteryx aequabilis,44.00564,-122.98128
Plathemis lydia,32.73518,-97.36548
Argia tibialis,36.937138,-79.15277
Aeshna palmata,46.28315,-122.271743
Libellula luctuosa,43.411528,-70.72007
Plathemis lydia,39.26301,-79.40534
Argia fumipennis,34.99959,-79.51773
Plathemis lydia,35.195,-106.64
Sympetrum corruptum,40.53802,-121.56737
Sympetrum corruptum,32.11015,-104.46886
Calopteryx maculata,41.935812,-70.929718
Libellula incesta,39.646731,-74.652934
Argia fumipennis,42.636563,-71.659833
Plathemis lydia,35.42273,-82.53999
Plathemis lydia,43.317168,-70.711786
Sympetrum corruptum,40.49773,-123.99702
Libellula incesta,39.5426,-75.7526
Argia tibialis,39.032656,-77.472091
Plathemis lydia,39.881519,-84.289028
Libellula vibrans,36.167304,-84.546091
Libellula luctuosa,33.05328,-99.60293
Libellula vibrans,33.09116,-83.72118
Libellula vibrans,30.442599,-87.69258
Argia moesta,35.63545,-94.40796
Sympetrum vicinum,44.75679,-91.40362
Libellula incesta,33.469241,-86.571325
Sympetrum semicinctum,43.601084,-116.174199
Calopteryx maculata,30.34856,-94.23624
Libellula luctuosa,33.050439,-110.898896
Calopteryx maculata,38.80043,-78.79249
Argia moesta,29.301463,-100.416989
Hetaerina titia,30.19128,-97.60949
Calopteryx maculata,41.63053,-88.52414
Libellula incesta,36.711996,-80.433684
Calopteryx maculata,36.95148,-80.90211
Libellula incesta,32.47353,-97.41449
Plathemis lydia,39.105862,-74.827338
Sympetrum vicinum,40.517636,-81.544332
Plathemis lydia,41.2952,-94.07437
Sympetrum corruptum,31.80763,-111.01337
Libellula incesta,39.442425,-74.66581
Plathemis lydia,36.033912,-79.042426
Argia fumipennis,38.628635,-76.804775
Sympetrum corruptum,41.991558,-121.88378
Libellula incesta,37.485075,-77.595234
Libellula luctuosa,38.367185,-96.59045
Argia apicalis,39.50675,-75.12868
Calopteryx maculata,42.08164,-83.68189
Argia tibialis,39.090766,-77.470414
Argia apicalis,40.65212,-93.84538
Plathemis lydia,40.0206,-78.18952
Argia moesta,36.6725,-81.51361
Libellula cyanea,42.55219,-71.37062
Plathemis lydia,30.05283,-99.16383
Libellula luctuosa,40.945823,-81.192157
Libellula pulchella,43.159665,-80.337109
Hetaerina americana,45.480299,-92.874968
Sympetrum vicinum,39.735474,-75.725357
Sympetrum ambiguum,33.96899,-84.12208
Sympetrum vicinum,42.670452,-82.401504
Sympetrum semicinctum,44.51082,-73.16376
Plathemis lydia,33.50986,-86.8084
Argia moesta,35.519926,-85.675827
Argia tibialis,42.82726,-80.751163
Hetaerina americana,42.20796,-84.39581
Libellula pulchella,44.959993,-92.904907
Libellula incesta,38.983992,-94.811357
Argia moesta,44.928272,-78.595228
Sympetrum vicinum,39.10577,-74.82642
Aeshna palmata,47.55879,-113.78615
Libellula luctuosa,40.80122,-77.94359
Libellula luctuosa,43.812903,-69.827963
Plathemis lydia,30.409114,-97.732217
Libellula luctuosa,43.159665,-80.337109
Hetaerina americana,46.26612,-106.47984
Libellula vibrans,30.43071,-97.73368
Libellula luctuosa,30.409048,-97.730996
Libellula luctuosa,44.319498,-96.817617
Argia moesta,29.492896,-97.455675
Argia apicalis,40.232004,-74.973403
Sympetrum corruptum,32.11015,-104.46886
Calopteryx maculata,35.612485,-82.566022
Argia sedula,33.93278,-112.69306
Libellula luctuosa,40.644778,-91.66719
Libellula luctuosa,41.8674,-70.9873
Argia fumipennis,41.0211,-83.69069
Argia tibialis,42.176961,-84.092049
Argia moesta,38.92083,-78.65671
Calopteryx aequabilis,47.37739,-91.63041
Argia fumipennis,39.598859,-75.884698
Plathemis lydia,42.527523,-88.992453
Libellula cyanea,39.46953,-74.44556
Sympetrum vicinum,42.193338,-88.311485
Argia moesta,46.39355,-70.64474
Libellula incesta,33.366846,-81.919308
Sympetrum vicinum,43.04082,-76.21249
Libellula luctuosa,39.809736,-105.143611
Libellula vibrans,39.0028,-74.9474
Sympetrum vicinum,41.1084,-74.89014
Argia apicalis,39.023016,-90.919888
Libellula luctuosa,45.182253,-93.085448
Argia sedula,32.965965,-97.018989
Aeshna canadensis,46.162299,-77.67964
Plathemis lydia,42.20005,-88.95596
Plathemis lydia,44.79855,-92.788839
Argia fumipennis,39.24615,-85.70737
Libellula pulchella,40.56515,-105.01538
Plathemis lydia,36.151508,-78.297678
Libellula luctuosa,41.63053,-88.52414
Libellula incesta,39.541919,-75.76665
Argia moesta,42.785734,-81.835912
Sympetrum semicinctum,44.75679,-91.40362
Libellula luctuosa,42.467751,-71.409025
Argia moesta,35.777002,-79.148169
Sympetrum vicinum,42.47863,-71.335632
Argia tibialis,38.763967,-76.656453
Libellula pulchella,45.566353,-92.864679
Libellula cyanea,39.31231,-75.15562
Libellula pulchella,43.119211,-89.506571
Libellula incesta,39.819445,-74.523387
Sympetrum vicinum,43.71971,-72.90172
Plathemis lydia,39.058336,-76.781188
Argia moesta,34.366197,-94.610292
Hetaerina americana,29.162055,-96.044884
Sympetrum semicinctum,39.571248,-105.050975
Libellula luctuosa,43.63535,-72.53538
Argia apicalis,42.20005,-88.95596
Plathemis lydia,40.820265,-91.385001
Argia sedula,32.109856,-104.47152
Argia fumipennis,44.687324,-85.754588
Libellula pulchella,35.61741,-106.11217
Calopteryx maculata,30.51527,-95.0859
Sympetrum semicinctum,42.19519,-88.32122
Argia fumipennis,37.559432,-77.544224
Libellula incesta,40.19441,-87.71953
Libellula incesta,37.12243,-77.18584
Libellula incesta,38.3841,-76.43418
Argia apicalis,37.634177,-98.731414
Libellula incesta,39.9552,-82.53833
Libellula incesta,35.532786,-82.55407
Libellula luctuosa,36.90588,-82.3196
Calopteryx amata,45.047545,-64.417806
Plathemis lydia,42.39937,-71.28019
Sympetrum semicinctum,43.83569,-102.2028
Libellula incesta,42.246156,-71.289654
Argia fumipennis,41.0309,-75.44972
Aeshna umbrosa,44.35205,-73.00655
Libellula luctuosa,38.879198,-94.896721
Sympetrum semicinctum,44.80419,-91.52701
Argia moesta,45.19824,-75.82309
Libellula luctuosa,36.32412,-115.2644
Plathemis lydia,44.88249,-93.685587
Aeshna umbrosa,44.09426,-70.76419
Plathemis lydia,33.33072,-93.77958
Libellula luctuosa,41.99499,-89.3415
Sympetrum corruptum,45.57361,-122.6102
Argia moesta,41.317609,-94.003851
Libellula luctuosa,33.629377,-101.892899
Argia fumipennis,37.495359,-77.644568
Libellula vibrans,38.99674,-74.88582
Libellula luctuosa,31.98629,-95.88816
Hetaerina americana,39.979772,-105.092086
Argia moesta,43.269149,-81.811563
Plathemis lydia,39.12076,-74.80881
Plathemis lydia,46.269508,-79.171459
Plathemis lydia,32.11015,-104.46886
Plathemis lydia,38.756372,-75.732819
Libellula cyanea,42.695548,-70.875143
Sympetrum corruptum,34.442815,-85.149645
Libellula incesta,38.779075,-77.799338
Argia tibialis,37.38834,-79.5376
Plathemis lydia,30.85369,-88.96701
Plathemis lydia,41.013873,-93.480356
Sympetrum corruptum,45.47542,-122.54558
Libellula vibrans,34.458925,-78.632032
Sympetrum vicinum,44.59642,-73.17941
Calopteryx maculata,36.03478,-84.216838
Plathemis lydia,40.76309,-77.21537
Calopteryx maculata,45.716444,-88.235635
Sympetrum corruptum,44.297057,-96.749286
Hetaerina americana,38.971139,-77.168992
Sympetrum corruptum,38.074858,-98.494164
Hetaerina americana,41.67203,-88.393754
Libellula incesta,44.44089,-72.4165
Argia moesta,29.483932,-97.448089
Hetaerina titia,31.061619,-94.274615
Sympetrum semicinctum,47.54208,-111.63053
Argia fumipennis,41.0152,-74.77074
Argia moesta,36.497508,-82.682008
Aeshna interrupta,49.617165,-81.526974
Libellula incesta,42.68073,-72.15255
Sympetrum corruptum,32.434537,-111.232229
Argia apicalis,42.014716,-83.934011
Plathemis lydia,46.174317,-77.862892
Libellula vibrans,38.93233,-74.95739
Libellula vibrans,33.538482,-81.274354
Argia tibialis,42.612736,-82.495696
Sympetrum vicinum,43.318512,-70.75384
Libellula pulchella,41.90941,-84.02466
Argia moesta,42.421337,-72.048337
Libellula pulchella,42.9352,-88.47432
Calopteryx maculata,42.20005,-88.95596
Argia tibialis,35.718904,-89.212954
Plathemis lydia,42.25146,-83.86568
Libellula pulchella,41.68275,-83.35647
Argia sedula,42.20796,-84.39581
Libellula pulchella,41.23809,-92.96005
Libellula pulchella,43.651318,-116.29754
Plathemis lydia,37.674818,-77.54796
Argia fumipennis,40.13533,-74.45804
Libellula incesta,43.207128,-81.967904
Argia sedula,34.088715,-111.286612
Argia moesta,32.78566,-114.59044
Plathemis lydia,39.372857,-75.061652
Libellula vibrans,38.93825,-74.9449
Plathemis lydia,35.91404,-84.40178
Libellula cyanea,38.76427,-77.628566
Libellula incesta,30.46665,-97.77493
Argia moesta,42.709853,-81.976855
Hetaerina americana,37.27966,-115.11661
Hetaerina vulnerata,34.336878,-111.096044
Sympetrum obtrusum,42.322715,-89.37098
Hetaerina americana,42.014716,-83.934011
Sympetrum obtrusum,44.33415,-90.69919
Libellula luctuosa,41.322228,-74.673761
Argia sedula,42.07136,-83.97992
Hetaerina americana,39.7262,-75.7673
Sympetrum vicinum,39.12076,-74.80881
Libellula luctuosa,43.338746,-80.393231
Plathemis lydia,35.48631,-86.10435
Sympetrum corruptum,32.586197,-107.921389
Libellula incesta,38.816418,-77.670627
Argia sedula,29.544265,-82.965617
Hetaerina americana,42.00711,-89.32795
Plathemis lydia,37.23945,-79.8519
Libellula pulchella,48.49292,-120.14478
Libellula luctuosa,43.0703,-88.15476
Libellula luctuosa,41.81386,-88.0916
Libellula luctuosa,43.629729,-91.108394
Sympetrum ambiguum,40.00204,-75.04495
Libellula luctuosa,41.786306,-71.05318
Libellula incesta,33.34582,-93.18424
Argia apicalis,43.72887,-95.06742
Libellula luctuosa,36.407696,-82.337044
Argia fumipennis,38.84473,-78.83017
Hetaerina americana,30.94454,-103.78585
Libellula vibrans,27.9673,-81.18964
Argia fumipennis,33.74373,-78.8812
Aeshna palmata,42.019387,-124.10682
Argia apicalis,38.983014,-94.79405
Argia fumipennis,35.780813,-83.989814
Plathemis lydia,29.590977,-95.260708
Sympetrum obtrusum,44.814788,-93.548494
Libellula incesta,36.760613,-78.92145
Libellula incesta,28.417755,-82.658429
Libellula luctuosa,44.37896,-72.72623
Sympetrum vicinum,42.3235,-89.08638
Hetaerina americana,35.836288,-106.161214
Sympetrum obtrusum,45.3738,-75.79698
Libellula incesta,34.28278,-81.34475
Sympetrum semicinctum,42.695548,-70.875143
Hetaerina americana,33.301983,-111.285379
Libellula incesta,42.663387,-71.790654
Calopteryx aequabilis,44.88749,-67.26783
Libellula pulchella,33.336,-104.333
Libellula pulchella,39.6938,-74.92268
Argia apicalis,39.25715,-75.83963
Libellula incesta,38.95194,-75.93442
Aeshna canadensis,44.52563,-71.79474
Calopteryx maculata,31.20662,-92.58781
Libellula incesta,31.81353,-93.55888
Aeshna palmata,48.579533,-123.130341
Libellula cyanea,41.061092,-74.959087
Plathemis lydia,43.5584,-72.79678
Sympetrum semicinctum,51.84945,-106.36453
Calopteryx maculata,41.21528,-74.11336
Plathemis lydia,38.20396,-97.75721
Argia moesta,34.955558,-85.121355
Plathemis lydia,41.99499,-89.3415
Plathemis lydia,42.19928,-88.97988
Sympetrum vicinum,39.4966,-75.07568
Libellula incesta,42.341101,-72.564408
Argia apicalis,39.56322,-75.72975
Sympetrum corruptum,42.6755,-118.36681
Argia tibialis,33.220758,-80.353722
Libellula incesta,39.933993,-75.519226
Calopteryx maculata,42.20005,-88.95596
Sympetrum corruptum,44.447369,-96.981042
Argia apicalis,34.60397,-104.38754
Argia apicalis,28.65429,-97.389654
Aeshna palmata,54.44835,-126.77669
Hetaerina titia,29.492896,-97.455675
Sympetrum vicinum,45.42668,-75.69625
Libellula luctuosa,35.0932,-106.6809
Hetaerina americana,20.48822,-105.44847
Plathemis lydia,43.317749,-70.710824
Sympetrum vicinum,42.5273,-83.4501
Argia moesta,40.33468,-76.91238
Libellula incesta,37.337348,-77.19139
Hetaerina americana,26.99776,-109.06807
Argia fumipennis,44.694227,-91.015835
Sympetrum corruptum,33.104069,-110.975014
Libellula pulchella,42.68096,-123.33173
Libellula cyanea,39.62682,-74.61838
Argia tibialis,35.22831,-95.83974
Plathemis lydia,41.424543,-96.015712
Libellula cyanea,32.49188,-94.77731
Libellula luctuosa,34.30685,-85.269556
Argia tibialis,44.78319,-91.24012
Libellula incesta,41.7467,-70.8083
Plathemis lydia,32.30426,-91.29093
Libellula cyanea,38.763967,-76.656453
Sympetrum corruptum,32.42097,-111.200444
Libellula luctuosa,32.954668,-96.936763
Sympetrum obtrusum,40.04463,-105.18849
Libellula pulchella,41.700702,-88.233601
Plathemis lydia,34.07042,-109.85384
Argia moesta,38.712108,-94.883133
Argia moesta,42.291198,-83.744541
Libellula incesta,41.25869,-74.70571
Argia tibialis,39.49624,-75.07624
Libellula luctuosa,42.650942,-81.763859
Libellula cyanea,39.560293,-75.717667
Libellula cyanea,42.23161,-84.46635
Argia sedula,32.434803,-111.232756
Libellula luctuosa,32.5815,-94.76356
Aeshna constricta,42.25146,-83.86568
Libellula incesta,39.698912,-88.034557
Sympetrum corruptum,32.846963,-117.005736
Calopteryx maculata,39.58519,-74.90173
Sympetrum corruptum,33.105086,-110.97479
Libellula incesta,33.913466,-84.803678
Argia fumipennis,40.71145,-77.88041
Calopteryx maculata,42.076981,-71.079397
Argia apicalis,42.71,-81.9762
Sympetrum semicinctum,44.271939,-96.773672
Sympetrum corruptum,34.170854,-109.97072
Libellula luctuosa,44.271939,-96.773672
Argia tibialis,39.085495,-77.511384
Plathemis lydia,42.23161,-84.46635
Libellula incesta,42.98617,-72.49482
Plathemis lydia,42.936098,-83.629374
Libellula pulchella,44.899275,-93.196294
Plathemis lydia,42.650942,-81.763859
Sympetrum corruptum,36.022689,-95.747543
Aeshna canadensis,44.82876,-71.712946
Sympetrum ambiguum,39.071243,-77.445826
Plathemis lydia,39.207643,-76.77604
Sympetrum vicinum,43.372745,-89.544084
Libellula incesta,39.0243,-74.87445
Hetaerina americana,42.81565,-83.78105
Calopteryx maculata,37.628576,-79.543762
Calopteryx maculata,39.50476,-75.13065
Libellula incesta,41.30454,-73.3929
Libellula incesta,42.1994,-71.1207
Sympetrum obtrusum,41.83115,-87.89185
Plathemis lydia,39.94605,-86.06817
Argia moesta,29.181747,-102.964382
Calopteryx aequabilis,42.48957,-89.14867
Plathemis lydia,42.15287,-84.13051
Libellula luctuosa,39.089098,-74.828628
Calopteryx maculata,42.08164,-83.68189
Libellula pulchella,33.93308,-112.69482
Aeshna umbrosa,44.60098,-72.6313
Argia tibialis,39.73997,-74.72456
Calopteryx maculata,40.5121,-81.53875
Hetaerina americana,33.549445,-111.642476
Sympetrum vicinum,49.60042,-95.88554
Sympetrum vicinum,33.73669,-94.66053
Libellula luctuosa,40.54604,-104.99971
Aeshna umbrosa,42.19423,-122.38544
Sympetrum ambiguum,35.88322,-100.18806
Plathemis lydia,38.934624,-74.942704
Libellula incesta,35.755402,-78.848036
Argia fumipennis,33.631265,-81.051415
Libellula luctuosa,39.6562,-75.05104
Libellula pulchella,37.1315,-104.57662
Argia moesta,46.29247,-107.31244
Calopteryx angustipennis,36.873027,-81.812671
Libellula incesta,39.70202,-74.38688
Argia sedula,31.546205,-97.1233
Hetaerina americana,33.565324,-101.801177
Libellula pulchella,39.105862,-74.827338
Plathemis lydia,45.152464,-93.455452
Sympetrum vicinum,42.623672,-93.649438
Plathemis lydia,32.57144,-80.1832
Libellula incesta,30.47911,-90.98619
Calopteryx maculata,35.78325,-83.95653
Argia sedula,33.104069,-110.975014
Argia moesta,39.20315,-95.80803
Libellula luctuosa,38.02487,-78.4394
Argia tibialis,39.030364,-77.471403
Argia sedula,33.548998,-111.569016
Libellula incesta,42.636563,-71.659833
Libellula luctuosa,35.723834,-83.98284
Sympetrum vicinum,34.4426,-85.1517
Argia moesta,39.718082,-75.759665
Argia sedula,40.08489,-88.33109
Argia apicalis,42.18461,-88.95336
Libellula luctuosa,29.59219,-95.358431
Sympetrum vicinum,43.65975,-73.22729
