species,decimalLatitude,decimalLongitude
Hyacinthoides hispanica,53.766212,-0.298089
Hyacinthoides non-scripta,53.276944,-2.818106
Hyacinthoides hispanica,53.442509,-2.386161
Hyacinthoides non-scripta,53.084333,-3.799045
Hyacinthoides hispanica,53.209922,-2.902863
Hyacinthoides hispanica,53.210367,-2.903342
Hyacinthoides non-scripta,52.951705,-1.106867
Hyacinthoides non-scripta,53.272172,-3.044439
Hyacinthoides hispanica,53.747249,-0.370013
Hyacinthoides non-scripta,52.966639,-2.172225
Hyacinthoides non-scripta,52.473945,-1.979636
Hyacinthoides non-scripta,52.854271,-2.06451
Hyacinthoides hispanica,53.761407,-0.368389
Hyacinthoides non-scripta,53.890788,-0.94748
Hyacinthoides hispanica,51.428756,-0.262961
Hyacinthoides hispanica,53.21003,-2.90295
Hyacinthoides non-scripta,53.295215,-2.925063
Hyacinthoides non-scripta,53.602564,-2.482881
Hyacinthoides hispanica,53.973582,-1.077585
Hyacinthoides non-scripta,51.988179,-2.597372
Hyacinthoides hispanica,53.949916,-1.069475
Hyacinthoides non-scripta,52.425427,-1.961797
Hyacinthoides non-scripta,51.395912,-3.494323
Hyacinthoides non-scripta,51.400925,0.077719
Hyacinthoides non-scripta,53.286827,-2.93004
Hyacinthoides non-scripta,53.178626,-2.860406
Hyacinthoides non-scripta,54.812912,-1.56209
Hyacinthoides hispanica,53.245588,-2.536422
Hyacinthoides non-scripta,53.662751,-2.327076
Hyacinthoides hispanica,53.730918,-0.403325
Hyacinthoides non-scripta,53.25788,-2.507525
Hyacinthoides hispanica,53.273137,-2.523348
Hyacinthoides non-scripta,53.289949,-2.929966
Hyacinthoides hispanica,53.775699,-0.307426
Hyacinthoides hispanica,53.944916,-1.091406
Hyacinthoides non-scripta,53.273837,-2.506018
Hyacinthoides hispanica,55.907021,-4.224132
Hyacinthoides non-scripta,53.209766,-2.902527
Hyacinthoides non-scripta,53.753615,-0.287901
Hyacinthoides non-scripta,53.256167,-3.043632
Hyacinthoides non-scripta,51.85572,-2.708558
Hyacinthoides non-scripta,53.190287,-2.869228
Hyacinthoides hispanica,53.20872,-2.903067
Hyacinthoides hispanica,53.193382,-2.893075
Hyacinthoides non-scripta,55.012687,-2.142734
Hyacinthoides hispanica,53.78975,-0.347317
Hyacinthoides non-scripta,53.17542,-2.88254
Hyacinthoides hispanica,53.203005,-2.88057
Hyacinthoides non-scripta,53.293921,-2.93004
Hyacinthoides hispanica,53.293427,-3.075606
Hyacinthoides hispanica,52.79278,-2.146455
Hyacinthoides hispanica,53.791962,-0.348948
Hyacinthoides non-scripta,53.274574,-2.525581
Hyacinthoides hispanica,53.292847,-3.076601
Hyacinthoides hispanica,51.602227,-3.994816
Hyacinthoides non-scripta,51.670442,-0.363058
Hyacinthoides hispanica,52.443182,-1.887901
Hyacinthoides non-scripta,51.548295,-0.324173
Hyacinthoides non-scripta,51.548293,-0.324185
Hyacinthoides hispanica,53.798832,-0.329655
Hyacinthoides hispanica,52.31604,-0.16989
Hyacinthoides non-scripta,53.870438,-1.580381
Hyacinthoides non-scripta,53.245484,-2.535983
Hyacinthoides non-scripta,53.890675,-0.947503
Hyacinthoides hispanica,51.404058,-0.303126
Hyacinthoides hispanica,53.179268,-2.867209
Hyacinthoides non-scripta,51.534453,0.617518
Hyacinthoides hispanica,53.756911,-0.373605
Hyacinthoides non-scripta,53.273943,-2.508125
Hyacinthoides non-scripta,53.092878,-2.04313
Hyacinthoides hispanica,53.759033,-0.37157
Hyacinthoides non-scripta,52.401845,-1.536927
Hyacinthoides hispanica,53.186032,-2.889493
Hyacinthoides hispanica,51.429107,-0.267087
Hyacinthoides non-scripta,53.275182,-2.63803
Hyacinthoides non-scripta,53.200217,-2.900894
Hyacinthoides non-scripta,55.169308,-1.631858
Hyacinthoides non-scripta,52.663892,-1.953217
Hyacinthoides non-scripta,54.646866,-2.151504
Hyacinthoides hispanica,53.747299,-0.370093
Hyacinthoides hispanica,52.959327,-1.988421
Hyacinthoides non-scripta,51.428921,-0.267882
Hyacinthoides hispanica,51.428478,-0.266842
Hyacinthoides hispanica,53.947469,-1.080904
