species,year,ssp,suitability,range,centroid_x,centroid_y,runtime,suitability_change,range_change,distance_change
Calopteryx angustipennis,2100,ssp2,0.007144802777363,332118,-81.307051879484,38.946767347282,450.771452903748,0.754295827195211,0.693239765300649,269.503622493645
Calopteryx angustipennis,2100,ssp5,0.00706957823718997,272514,-77.9988138023,43.4607313885347,455.655917882919,0.74635417246753,0.568826565862558,839.970486944821
Calopteryx amata,2050,ssp1,0.0275613556051753,1544763,-82.1464362983036,43.3481253132049,293.955071210861,1.20990060728333,1.18870076234726,71.1617303147155
Calopteryx amata,2050,ssp2,0.0233599042805577,1310428,-82.3032621813332,43.8618570159081,293.401593923569,1.02546343438274,1.00837912521286,89.6918884328224
Calopteryx amata,2050,ssp5,0.0232317290796477,1283493,-81.57492214045,44.6920797148453,290.6776740551,1.01983674258858,0.987652544479235,198.27380429273
Calopteryx amata,2075,ssp1,0.0299006180882835,1637015,-81.6326071579155,43.9969570056777,292.523631095886,1.31259058884491,1.25968901279608,139.462842159159
Calopteryx amata,2075,ssp2,0.0245310591486007,1342605,-80.7756057033721,45.0939868900324,291.65115404129,1.07687530999463,1.0331394440644,272.750043967499
Calopteryx amata,2075,ssp5,0.0220898312200108,1170446,-80.2466428612325,46.3027503172669,294.145485162735,0.969709204102383,0.900662465689756,404.576358339257
Calopteryx amata,2100,ssp1,0.0315700134002239,1738561,-81.8735586182462,43.8387907099118,289.718683958054,1.38587444435067,1.33782903014069,113.471731968708
Calopteryx amata,2100,ssp2,0.0294543839105075,1591935,-78.7372828815126,46.1315948107199,290.696034193039,1.29300160307745,1.2249997883865,466.818322048761
Calopteryx amata,2100,ssp5,0.0182484171187718,908665,-78.6225041472631,48.5212202554604,288.983551979065,0.801077104850955,0.699221031458079,678.431969937052
Hetaerina americana,2050,ssp1,0.099660883770085,5254288,-95.3464938010375,36.5532653602655,970.970155000687,0.996583422153586,0.981675400495631,73.4354200609577
Hetaerina americana,2050,ssp2,0.109284593549458,5813105,-95.2491606493408,37.2858032191002,968.870647907257,1.09281806570608,1.08608096453757,80.9702842665644
Hetaerina americana,2050,ssp5,0.118051019701775,6405607,-95.3709684743295,37.2593246332094,979.160460948944,1.18048009161272,1.19678000466336,87.4742775450543
Hetaerina americana,2075,ssp1,0.101180497544166,5259273,-94.7674758210661,37.0484162062264,960.939340829849,1.01177917236205,0.982606763959429,33.065945246659
Hetaerina americana,2075,ssp2,0.119880560797811,6548015,-95.4504555251289,37.2206368821568,963.881925106049,1.19877503600299,1.22338654591762,90.955197681302
Hetaerina americana,2075,ssp5,0.134135488720464,7429736,-95.6244752717444,37.5128114930783,966.827579975128,1.3413206799337,1.3881212950978,122.560235849668
Hetaerina americana,2100,ssp1,0.10030269318962,4989459,-94.6920423082714,37.3241611910762,997.480778932571,1.00300135267451,0.932196553002335,59.9712981029172
Hetaerina americana,2100,ssp2,0.122112011684541,6578965,-95.3822931427595,37.3415070101043,972.428771972656,1.22108897580505,1.22916903322044,93.9136998246301
Hetaerina americana,2100,ssp5,0.152946135861362,8293923,-96.3879590146615,37.37520844891,1113.14323115349,1.52942235424603,1.54958011108354,173.321906871051
Hetaerina titia,2050,ssp1,0.0570810473414867,3354307,-89.2687431874473,34.4110042450709,454.063457012177,1.00449134669779,0.989489772078293,33.8402093828415
Hetaerina titia,2050,ssp2,0.0632264708523963,3694508,-88.8935035431028,34.7321724664083,482.246592998505,1.11263625689139,1.08984594399422,34.3909172184204
Hetaerina titia,2050,ssp5,0.0703787483435068,4168320,-88.6241960606475,35.2748554763211,504.018779993057,1.23849941434226,1.2296161343459,97.9160997188314
Hetaerina titia,2075,ssp1,0.0597403867306993,3521192,-88.6829129319905,34.7224914199986,491.615833997726,1.05128942642495,1.03871931505492,38.8540142892239
Hetaerina titia,2075,ssp2,0.0714023804241086,4289766,-88.5940270755469,35.4332504210104,483.869505882263,1.25651291645996,1.26544158945774,115.614238547532
Hetaerina titia,2075,ssp5,0.0866292646872259,5235202,-89.2437462315351,35.9884011784833,494.734289169312,1.52447004394514,1.54433653024718,176.541383249017
Hetaerina titia,2100,ssp1,0.0623998421887424,3596383,-89.0249915112506,34.7398791050703,505.58830499649,1.09808954868884,1.06089996979294,37.0331347555257
Hetaerina titia,2100,ssp2,0.0777801123081633,4719240,-88.6478077312778,35.8474498442254,482.183710098267,1.368745904246,1.39213247683732,159.792926458603
Hetaerina titia,2100,ssp5,0.104608387709976,5843221,-90.1901030333444,36.0815850705554,492.561112880707,1.84086006022365,1.72369655356325,218.301934127682
Hetaerina vulnerata,2050,ssp1,0.00568678911143357,1051356,-109.97556165036,37.7360249434357,881.671199083328,1.14425624382245,1.05222197868846,298.782158750518
Hetaerina vulnerata,2050,ssp2,0.00213128859742158,495939,-106.319956083976,36.997227648418,854.452445030212,0.428843102355251,0.496347493987552,256.333421426567
Hetaerina vulnerata,2050,ssp5,0.00527291309904925,978977,-106.506091665374,37.8694005719555,861.609245061874,1.0609789845362,0.979783361706685,321.903670047926
Hetaerina vulnerata,2075,ssp1,0.00613481875352874,1074147,-108.791780107172,38.1975903797082,858.587723016739,1.23440565948378,1.07503175113118,314.931882782584
Hetaerina vulnerata,2075,ssp2,0.00209480866414836,496817,-104.639585911774,37.4038544851681,881.142421007156,0.421502863319802,0.497226217176736,401.916849946303
Hetaerina vulnerata,2075,ssp5,0.00639878787080577,1218062,-104.09676010867,38.6119851734518,867.505753993988,1.287519693555,1.21906529073427,521.740782406458
Hetaerina vulnerata,2100,ssp1,0.00757008859816607,1422855,-107.256999461063,39.3463832733067,872.482275009155,1.52320069814529,1.42402697419977,450.702387959019
Hetaerina vulnerata,2100,ssp2,0.00178327435116593,411380,-102.40049184702,37.8786795927693,862.156235933304,0.358818090628238,0.411718844609113,600.331233182819
Hetaerina vulnerata,2100,ssp5,0.00785979299202549,1477661,-104.706473433936,38.7931979395921,857.859761953354,1.58149300599085,1.47887811669004,498.603413570847
Libellula luctuosa,2050,ssp1,0.115657624953761,5710862,-90.6687350597123,38.2579877012374,989.003533124924,1.00777375483669,0.996565422061152,17.7174492347041
Libellula luctuosa,2050,ssp2,0.120954363759131,5724789,-90.3507626450523,38.6151558671164,980.366575956345,1.05392647806969,0.99899573234234,41.7848826343446
Libellula luctuosa,2050,ssp5,0.125059673709912,5920163,-90.4989815635541,38.8273688082425,974.115672111511,1.0896977782803,1.03308917966601,64.1628959022069
Libellula luctuosa,2075,ssp1,0.116872163466608,5614169,-90.3398539289749,38.4728808171047,982.687886953354,1.01835654207597,0.979692154880933,27.1144756411344
Libellula luctuosa,2075,ssp2,0.127414740379917,5941117,-90.2640626956162,38.9000007587973,979.238557815552,1.11021846925826,1.03674572606021,74.2901469385074
Libellula luctuosa,2075,ssp5,0.13220579707538,6171794,-90.2406898921978,39.6011176889243,975.572376966476,1.15196497060266,1.07699967053739,151.275315085129
Libellula luctuosa,2100,ssp1,0.116052796876596,5466974,-90.3175191222995,38.5566287003174,979.810667991638,1.01121705477166,0.954006111810676,36.4505275573372
Libellula luctuosa,2100,ssp2,0.130822754731209,5859035,-89.9028120698507,39.1215374965591,978.307898044586,1.13991393828343,1.02242212955698,108.480559221296
Libellula luctuosa,2100,ssp5,0.138304868472638,6109068,-90.1699202240717,39.836723754264,974.15643787384,1.20510875671698,1.06605376383115,178.023013858622
Libellula incesta,2050,ssp1,0.0691824620773347,4063990,-85.5010584637693,37.6465659207893,945.934340000153,1.00779657187781,0.988114153724584,20.3515332345524
Libellula incesta,2050,ssp2,0.0693030495971129,4115685,-85.4490673227105,37.5425498413565,940.938261032104,1.00955319755135,1.00068322037504,15.9292477859759
Libellula incesta,2050,ssp5,0.0703650011132695,4332051,-85.1475555722808,37.9808729788758,945.69945693016,1.02502288546571,1.05329021669757,44.5736422813515
Libellula incesta,2075,ssp1,0.0695727313173726,4054532,-84.7522834414455,38.1189860449974,943.857749938965,1.01348171216351,0.985814545786099,74.5911796279244
Libellula incesta,2075,ssp2,0.0685569137503332,4035317,-84.6656075639143,37.9774623149845,947.748936891556,0.998684067919925,0.981142631371,68.9246046383588
Libellula incesta,2075,ssp5,0.0677656202037806,3907409,-84.2567855004688,38.3068025855517,944.20517206192,0.987157115862721,0.950043217943653,119.854442129857
Libellula incesta,2100,ssp1,0.0711401852559682,4061958,-85.3782027175234,38.093894076569,941.222939014435,1.03631516819355,0.987620095432027,56.2165535646706
