points,runtime,training_auc
256,37.6400887966156,0.5572
512,61.0731630325317,0.6022
1024,109.469134092331,0.6682
2048,200.03681397438,0.7503
4096,396.263375997543,0.8283
8192,756.119473934174,0.8913
16384,1474.97996687889,0.931
32768,2798.74901604652,0.9539
