species,year,ssp,range_mean_suitability,range_size,range_centroid_x,range_centroid_y,eval_runtime,eval_training_auc,eval_testing_auc,output_threshold,Bioclim1,Bioclim10,Bioclim12,Bioclim4,Bioclim7,PFT14,PFT2,PFT10,PFT6,Population,slope,PFT1,PFT7,Bioclim11,PFT13,Rainfed,PFT12,Irrigated,PFT31,PFT11,genus,distance
Argia sedula,2100,ssp1,0.0664,5917326,-95.8393,34.8675,647.9246,,,,,,,,,,,,,,,,,,,,,,,,Argia,120.71238789196727
Argia sedula,2100,ssp2,0.0742,6482264,-95.9941,35.5471,649.5646,,,,,,,,,,,,,,,,,,,,,,,,Argia,182.11064705788496
Argia sedula,2100,ssp5,0.0969,7742794,-97.9139,36.337,655.2116,,,,,,,,,,,,,,,,,,,,,,,,Argia,368.59758468908353
Argia tibialis,2020,baseline,0.047,3835921,-87.5803,36.7446,1158.9289,0.9155,0.9755,0.2759,,36.6359,25.9414,23.7907,9.5242,,,,,,3.6702,,0.4375,,,,,,,,Argia,0.0
Argia tibialis,2050,ssp1,0.0469,3854333,-87.4363,36.9897,668.0896,,,,,,,,,,,,,,,,,,,,,,,,Argia,30.078298960495243
Argia tibialis,2050,ssp2,0.048,4045355,-87.0591,37.1494,667.8526,,,,,,,,,,,,,,,,,,,,,,,,Argia,64.60158005141105
Argia tibialis,2050,ssp5,0.0491,4051181,-86.0633,38.2538,668.8912,,,,,,,,,,,,,,,,,,,,,,,,Argia,214.58757391573914
Argia tibialis,2075,ssp1,0.044,3724337,-86.5448,37.281,675.0014,,,,,,,,,,,,,,,,,,,,,,,,Argia,109.70937940198496
Argia tibialis,2075,ssp2,0.0471,3693200,-84.8812,38.8916,669.0592,,,,,,,,,,,,,,,,,,,,,,,,Argia,336.51794951140175
Argia tibialis,2075,ssp5,0.0489,2839603,-82.055,42.2947,673.5232,,,,,,,,,,,,,,,,,,,,,,,,Argia,777.7099892675743
Argia tibialis,2100,ssp1,0.0506,4195080,-87.4792,37.1943,670.9692,,,,,,,,,,,,,,,,,,,,,,,,Argia,50.7118798812141
Argia tibialis,2100,ssp2,0.0481,3336965,-83.59,40.3427,671.4005,,,,,,,,,,,,,,,,,,,,,,,,Argia,529.5409064873618
Argia tibialis,2100,ssp5,0.0505,3161249,-79.9807,46.7622,674.7554,,,,,,,,,,,,,,,,,,,,,,,,Argia,1278.182248356687
Aeshna umbrosa,2020,baseline,0.0686,3658762,-89.7264,43.291,1456.79,0.9337,0.9483,0.324,34.7685,11.507,11.4857,,2.6169,0.2632,2.6798,,,4.9187,,,3.7782,27.982,,,,,,,Aeshna,0.0
Aeshna umbrosa,2050,ssp1,0.0724,3761521,-90.9457,43.714,925.4121,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,109.23382962788165
Aeshna umbrosa,2050,ssp2,0.0713,3521488,-91.252,44.3851,926.1675,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,172.71306879149873
Aeshna umbrosa,2050,ssp5,0.0715,3440129,-92.5756,45.2187,921.9242,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,312.46397892606285
Aeshna umbrosa,2075,ssp1,0.0747,3719864,-91.8045,44.2325,919.3682,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,197.33804646387046
Aeshna umbrosa,2075,ssp2,0.0705,3330242,-94.0634,45.6833,918.5873,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,435.4257569492813
Aeshna umbrosa,2075,ssp5,0.0791,3864513,-102.8789,48.8299,915.6316,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,1187.0238676176662
Aeshna umbrosa,2100,ssp1,0.0789,3906009,-93.5144,44.4107,924.1683,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,328.96797138196115
Aeshna umbrosa,2100,ssp2,0.0756,3377526,-99.6542,47.1182,917.0435,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,887.4716350459454
Aeshna umbrosa,2100,ssp5,0.0909,4524930,-111.525,53.3478,920.3805,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,1953.0336129094817
Aeshna palmata,2020,baseline,0.0493,3972087,-116.2794,45.0322,861.5355,0.9619,0.9764,0.2214,33.7536,,,34.6197,9.4686,,,,,4.4555,,,,17.7026,,,,,,,Aeshna,0.0
Aeshna palmata,2050,ssp1,0.0492,4149986,-118.4926,46.3738,383.6735,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,227.8901953532791
Aeshna palmata,2050,ssp2,0.0428,3571900,-119.8797,47.2003,380.1803,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,368.07493267185777
Aeshna palmata,2050,ssp5,0.0366,2949920,-120.7721,47.8038,606.8264,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,462.68830512673526
Aeshna palmata,2075,ssp1,0.0484,4035563,-118.369,46.9691,380.5989,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,269.32828621728146
Aeshna palmata,2075,ssp2,0.0388,3197186,-121.4582,47.9447,386.5164,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,512.55941476308
Aeshna palmata,2075,ssp5,0.0294,2057980,-132.8657,52.636,381.6151,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,1476.8698295528739
Aeshna palmata,2100,ssp1,0.0433,3581724,-120.6314,47.7384,386.2344,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,449.9401168343412
Aeshna palmata,2100,ssp2,0.0354,2780789,-126.2958,50.0381,833.7145,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,935.9916014717951
Aeshna palmata,2100,ssp5,0.0292,1799767,-139.8252,60.4332,384.9529,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,2313.011105115247
Aeshna canadensis,2020,baseline,0.0493,3758093,-91.7926,45.8704,1227.7079,0.9601,0.9749,0.1941,73.2349,,,1.2791,,5.559,,,,,3.5552,,,7.2808,6.5757,2.5154,,,,,Aeshna,0.0
Aeshna canadensis,2050,ssp1,0.0624,4950009,-96.238,47.4277,811.6478,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,381.72745672956216
Aeshna canadensis,2050,ssp2,0.0641,5142963,-95.5301,48.6419,666.6533,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,418.1933049276116
Aeshna canadensis,2050,ssp5,0.0822,6572214,-96.8038,50.1748,669.1538,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,606.9872986962052
Aeshna canadensis,2075,ssp1,0.0742,6034310,-98.1557,48.7655,666.94,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,578.514641025252
Aeshna canadensis,2075,ssp2,0.0854,6638601,-97.9401,50.6418,663.4917,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,699.4154039639383
Aeshna canadensis,2075,ssp5,0.1333,9509835,-102.4335,53.5613,672.6886,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,1146.753230552119
Aeshna canadensis,2100,ssp1,0.0822,6573226,-99.4295,49.2865,670.3688,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,688.2060543855797
Aeshna canadensis,2100,ssp2,0.0832,6520140,-102.1781,52.0018,672.2792,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,1019.9306251505654
Aeshna canadensis,2100,ssp5,0.1852,12871435,-105.8561,57.0896,669.7979,,,,,,,,,,,,,,,,,,,,,,,,Aeshna,1578.6349169021712
