species,year,ssp,range_mean_suitability,range_size,range_centroid_x,range_centroid_y,eval_runtime,eval_training_auc,eval_testing_auc,output_threshold,Bioclim1,Bioclim10,Bioclim12,Bioclim4,Bioclim7,PFT14,PFT2,PFT10,PFT6,Population,slope,PFT1,PFT7,Bioclim11,PFT13,Rainfed,PFT12,Irrigated,PFT31,PFT11
Argia sedula,2050,ssp5,0.0725,6266503,-95.3542,35.2378,647.633,,,,,,,,,,,,,,,,,,,,,,,
Argia sedula,2075,ssp1,0.0612,5501725,-95.4494,34.605,646.6033,,,,,,,,,,,,,,,,,,,,,,,
Argia sedula,2075,ssp2,0.069,6017626,-95.1547,35.2683,646.3571,,,,,,,,,,,,,,,,,,,,,,,
Argia sedula,2075,ssp5,0.0845,7206815,-96.6807,36.0221,650.0419,,,,,,,,,,,,,,,,,,,,,,,
Argia sedula,2100,ssp1,0.0664,5917326,-95.8393,34.8675,647.9246,,,,,,,,,,,,,,,,,,,,,,,
Argia sedula,2100,ssp2,0.0742,6482264,-95.9941,35.5471,649.5646,,,,,,,,,,,,,,,,,,,,,,,
Argia sedula,2100,ssp5,0.0969,7742794,-97.9139,36.337,655.2116,,,,,,,,,,,,,,,,,,,,,,,
Argia tibialis,2020,,0.047,3835921,-87.5803,36.7446,1158.9289,0.9155,0.9755,0.2759,,36.6359,25.9414,23.7907,9.5242,,,,,,3.6702,,0.4375,,,,,,,
Argia tibialis,2050,ssp1,0.0469,3854333,-87.4363,36.9897,668.0896,,,,,,,,,,,,,,,,,,,,,,,
Argia tibialis,2050,ssp2,0.048,4045355,-87.0591,37.1494,667.8526,,,,,,,,,,,,,,,,,,,,,,,
Argia tibialis,2050,ssp5,0.0491,4051181,-86.0633,38.2538,668.8912,,,,,,,,,,,,,,,,,,,,,,,
Argia tibialis,2075,ssp1,0.044,3724337,-86.5448,37.281,675.0014,,,,,,,,,,,,,,,,,,,,,,,
Argia tibialis,2075,ssp2,0.0471,3693200,-84.8812,38.8916,669.0592,,,,,,,,,,,,,,,,,,,,,,,
Argia tibialis,2075,ssp5,0.0489,2839603,-82.055,42.2947,673.5232,,,,,,,,,,,,,,,,,,,,,,,
Argia tibialis,2100,ssp1,0.0506,4195080,-87.4792,37.1943,670.9692,,,,,,,,,,,,,,,,,,,,,,,
Argia tibialis,2100,ssp2,0.0481,3336965,-83.59,40.3427,671.4005,,,,,,,,,,,,,,,,,,,,,,,
Argia tibialis,2100,ssp5,0.0505,3161249,-79.9807,46.7622,674.7554,,,,,,,,,,,,,,,,,,,,,,,
Aeshna umbrosa,2020,,0.0686,3658762,-89.7264,43.291,1456.79,0.9337,0.9483,0.324,34.7685,11.507,11.4857,,2.6169,0.2632,2.6798,,,4.9187,,,3.7782,27.982,,,,,,
Aeshna umbrosa,2050,ssp1,0.0724,3761521,-90.9457,43.714,925.4121,,,,,,,,,,,,,,,,,,,,,,,
Aeshna umbrosa,2050,ssp2,0.0713,3521488,-91.252,44.3851,926.1675,,,,,,,,,,,,,,,,,,,,,,,
Aeshna umbrosa,2050,ssp5,0.0715,3440129,-92.5756,45.2187,921.9242,,,,,,,,,,,,,,,,,,,,,,,
Aeshna umbrosa,2075,ssp1,0.0747,3719864,-91.8045,44.2325,919.3682,,,,,,,,,,,,,,,,,,,,,,,
Aeshna umbrosa,2075,ssp2,0.0705,3330242,-94.0634,45.6833,918.5873,,,,,,,,,,,,,,,,,,,,,,,
Aeshna umbrosa,2075,ssp5,0.0791,3864513,-102.8789,48.8299,915.6316,,,,,,,,,,,,,,,,,,,,,,,
Aeshna umbrosa,2100,ssp1,0.0789,3906009,-93.5144,44.4107,924.1683,,,,,,,,,,,,,,,,,,,,,,,
Aeshna umbrosa,2100,ssp2,0.0756,3377526,-99.6542,47.1182,917.0435,,,,,,,,,,,,,,,,,,,,,,,
Aeshna umbrosa,2100,ssp5,0.0909,4524930,-111.525,53.3478,920.3805,,,,,,,,,,,,,,,,,,,,,,,
Aeshna palmata,2020,,0.0493,3972087,-116.2794,45.0322,861.5355,0.9619,0.9764,0.2214,33.7536,,,34.6197,9.4686,,,,,4.4555,,,,17.7026,,,,,,
Aeshna palmata,2050,ssp1,0.0492,4149986,-118.4926,46.3738,383.6735,,,,,,,,,,,,,,,,,,,,,,,
Aeshna palmata,2050,ssp2,0.0428,3571900,-119.8797,47.2003,380.1803,,,,,,,,,,,,,,,,,,,,,,,
Aeshna palmata,2050,ssp5,0.0366,2949920,-120.7721,47.8038,606.8264,,,,,,,,,,,,,,,,,,,,,,,
Aeshna palmata,2075,ssp1,0.0484,4035563,-118.369,46.9691,380.5989,,,,,,,,,,,,,,,,,,,,,,,
Aeshna palmata,2075,ssp2,0.0388,3197186,-121.4582,47.9447,386.5164,,,,,,,,,,,,,,,,,,,,,,,
Aeshna palmata,2075,ssp5,0.0294,2057980,-132.8657,52.636,381.6151,,,,,,,,,,,,,,,,,,,,,,,
Aeshna palmata,2100,ssp1,0.0433,3581724,-120.6314,47.7384,386.2344,,,,,,,,,,,,,,,,,,,,,,,
Aeshna palmata,2100,ssp2,0.0354,2780789,-126.2958,50.0381,833.7145,,,,,,,,,,,,,,,,,,,,,,,
Aeshna palmata,2100,ssp5,0.0292,1799767,-139.8252,60.4332,384.9529,,,,,,,,,,,,,,,,,,,,,,,
Aeshna canadensis,2020,,0.0493,3758093,-91.7926,45.8704,1227.7079,0.9601,0.9749,0.1941,73.2349,,,1.2791,,5.559,,,,,3.5552,,,7.2808,6.5757,2.5154,,,,
Aeshna canadensis,2050,ssp1,0.0624,4950009,-96.238,47.4277,811.6478,,,,,,,,,,,,,,,,,,,,,,,
Aeshna canadensis,2050,ssp2,0.0641,5142963,-95.5301,48.6419,666.6533,,,,,,,,,,,,,,,,,,,,,,,
Aeshna canadensis,2050,ssp5,0.0822,6572214,-96.8038,50.1748,669.1538,,,,,,,,,,,,,,,,,,,,,,,
Aeshna canadensis,2075,ssp1,0.0742,6034310,-98.1557,48.7655,666.94,,,,,,,,,,,,,,,,,,,,,,,
Aeshna canadensis,2075,ssp2,0.0854,6638601,-97.9401,50.6418,663.4917,,,,,,,,,,,,,,,,,,,,,,,
Aeshna canadensis,2075,ssp5,0.1333,9509835,-102.4335,53.5613,672.6886,,,,,,,,,,,,,,,,,,,,,,,
Aeshna canadensis,2100,ssp1,0.0822,6573226,-99.4295,49.2865,670.3688,,,,,,,,,,,,,,,,,,,,,,,
Aeshna canadensis,2100,ssp2,0.0832,6520140,-102.1781,52.0018,672.2792,,,,,,,,,,,,,,,,,,,,,,,
Aeshna canadensis,2100,ssp5,0.1852,12871435,-105.8561,57.0896,669.7979,,,,,,,,,,,,,,,,,,,,,,,
Aeshna interrupta,2020,,0.065,5707963,-101.2192,46.1349,1650.4395,0.9526,0.9472,0.1964,32.0991,,,12.3732,10.6869,,2.564,,,8.8358,1.9993,,,26.7897,,1.2545,3.3974,,,
Aeshna interrupta,2050,ssp1,0.0678,5725816,-101.9041,46.8142,934.4949,,,,,,,,,,,,,,,,,,,,,,,
Aeshna interrupta,2050,ssp2,0.064,5206729,-101.2232,47.4056,933.8526,,,,,,,,,,,,,,,,,,,,,,,
Aeshna interrupta,2050,ssp5,0.0611,4868450,-100.4949,48.3848,921.8241,,,,,,,,,,,,,,,,,,,,,,,
Aeshna interrupta,2075,ssp1,0.0649,5266812,-102.5629,47.4922,919.1855,,,,,,,,,,,,,,,,,,,,,,,
Aeshna interrupta,2075,ssp2,0.0597,4531156,-101.9933,48.7992,922.0771,,,,,,,,,,,,,,,,,,,,,,,
Aeshna interrupta,2075,ssp5,0.0598,4760577,-100.3849,51.5484,917.5959,,,,,,,,,,,,,,,,,,,,,,,
Aeshna interrupta,2100,ssp1,0.0628,4952720,-103.1455,47.7415,919.3106,,,,,,,,,,,,,,,,,,,,,,,
Aeshna interrupta,2100,ssp2,0.0528,3706241,-105.9027,50.2919,917.2841,,,,,,,,,,,,,,,,,,,,,,,
Aeshna interrupta,2100,ssp5,0.0599,3904009,-105.2379,56.7047,928.6722,,,,,,,,,,,,,,,,,,,,,,,
Aeshna constricta,2020,,0.0433,4185575,-89.7663,44.1577,1038.4933,0.9687,0.9689,0.1238,52.3766,31.1663,11.4229,,,,2.4138,1.4913,,,,,,1.1291,,,,,,
Aeshna constricta,2050,ssp1,0.0478,4458064,-90.3277,44.2995,400.3372,,,,,,,,,,,,,,,,,,,,,,,
Aeshna constricta,2050,ssp2,0.052,4707750,-91.1409,45.362,403.7679,,,,,,,,,,,,,,,,,,,,,,,
Aeshna constricta,2050,ssp5,0.0565,5352867,-93.1049,47.3854,413.6332,,,,,,,,,,,,,,,,,,,,,,,
Aeshna constricta,2075,ssp1,0.0524,4974704,-92.1517,45.2056,407.1465,,,,,,,,,,,,,,,,,,,,,,,
Aeshna constricta,2075,ssp2,0.0575,5568443,-92.0832,47.8475,402.4312,,,,,,,,,,,,,,,,,,,,,,,
Aeshna constricta,2075,ssp5,0.0902,9268190,-102.4769,52.4934,412.2617,,,,,,,,,,,,,,,,,,,,,,,
Aeshna constricta,2100,ssp1,0.0583,5422991,-92.8033,45.4373,407.7408,,,,,,,,,,,,,,,,,,,,,,,
Aeshna constricta,2100,ssp2,0.072,7352688,-93.4591,49.4955,406.2311,,,,,,,,,,,,,,,,,,,,,,,
Aeshna constricta,2100,ssp5,0.1484,12348096,-111.4697,56.4267,408.9226,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx maculata,2020,,0.0715,5399291,-85.9509,39.2216,1209.5081,0.8476,0.9648,0.2648,,17.1967,39.6759,15.5333,,,11.2959,3.1172,,,7.4965,,5.6846,,,,,,,
Calopteryx maculata,2050,ssp1,0.0707,5349127,-85.9254,39.2908,716.3945,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx maculata,2050,ssp2,0.0702,5293781,-85.8114,39.3961,707.8436,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx maculata,2050,ssp5,0.0681,5175642,-85.6869,39.6115,707.976,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx maculata,2075,ssp1,0.071,5331033,-85.9384,39.4945,707.7202,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx maculata,2075,ssp2,0.0658,4954076,-85.0744,39.8425,707.5225,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx maculata,2075,ssp5,0.0594,4312335,-84.3711,40.5578,711.6461,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx maculata,2100,ssp1,0.0731,5371670,-86.0592,39.5852,711.8083,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx maculata,2100,ssp2,0.0669,4919509,-83.8384,41.18,705.3173,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx maculata,2100,ssp5,0.0468,2228417,-81.3963,43.9019,706.1947,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx aequabilis,2020,,0.0509,3584420,-89.7818,44.108,1402.155,0.9551,0.9745,0.191,35.9362,16.7502,6.9506,,4.4062,4.1621,,,,2.5077,,0.9201,,28.3668,,,,,,
Calopteryx aequabilis,2050,ssp1,0.0538,3778299,-90.6258,44.1985,849.8448,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx aequabilis,2050,ssp2,0.0548,3914381,-90.2076,45.3742,838.7913,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx aequabilis,2050,ssp5,0.0564,4387276,-90.7112,46.9493,850.1063,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx aequabilis,2075,ssp1,0.0582,4250754,-91.2773,45.1538,856.7006,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx aequabilis,2075,ssp2,0.056,4490117,-90.3177,47.1736,855.6743,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx aequabilis,2075,ssp5,0.0601,5199087,-92.3617,49.8956,852.1337,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx aequabilis,2100,ssp1,0.0603,4396058,-91.9276,45.2655,852.7358,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx aequabilis,2100,ssp2,0.0604,5218684,-90.9282,48.4368,859.7089,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx aequabilis,2100,ssp5,0.0522,5180151,-106.0047,55.0535,1718.5008,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx dimidiata,2020,,0.015,1501890,-83.6292,34.9394,1984.3808,0.9834,0.9941,0.1411,6.1113,3.7594,19.7508,,5.101,,,,,,9.3473,24.9493,12.6543,,8.4266,1.2369,,2.3555,6.3078,
Calopteryx dimidiata,2050,ssp1,0.0161,1576065,-84.0202,34.8686,1300.3514,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx dimidiata,2050,ssp2,0.0141,1447310,-84.157,34.7974,1292.8582,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx dimidiata,2050,ssp5,0.0154,1590504,-83.2119,35.7304,1291.4752,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx dimidiata,2075,ssp1,0.015,1532640,-83.7649,35.3364,1300.8926,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx dimidiata,2075,ssp2,0.0126,1322493,-83.6784,35.2058,1296.5037,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx dimidiata,2075,ssp5,0.0147,1539254,-82.7788,36.3417,1293.7175,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx dimidiata,2100,ssp1,0.0137,1412934,-84.8372,35.3074,1288.3723,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx dimidiata,2100,ssp2,0.0111,1099565,-83.9377,35.1538,1292.6172,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx dimidiata,2100,ssp5,0.0123,1290902,-83.351,35.6345,1302.7303,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx angustipennis,2020,,0.0228,881696,-95.2369,36.7251,609.4678,0.9868,0.9953,0.4565,,26.2942,,27.7961,,,,,,,,,,45.9097,,,,,,
Calopteryx angustipennis,2050,ssp1,0.0216,845600,-98.7475,37.5349,132.3028,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx angustipennis,2050,ssp2,0.0226,868690,-101.3766,38.3385,134.5321,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx angustipennis,2050,ssp5,0.0215,802582,-100.7947,39.2025,134.2228,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx angustipennis,2075,ssp1,0.0258,1022844,-96.8097,38.4273,131.7605,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx angustipennis,2075,ssp2,0.0229,890857,-101.0153,39.6268,144.5747,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx angustipennis,2075,ssp5,0.0193,658157,-106.6155,41.0463,137.709,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx angustipennis,2100,ssp1,0.0259,965259,-97.5876,38.1368,136.9076,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx angustipennis,2100,ssp2,0.0232,897413,-100.3366,40.4519,136.122,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx angustipennis,2100,ssp5,0.0157,540610,-104.1252,42.6046,138.8043,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx amata,2020,,0.032,1754888,-90.4398,46.7517,869.9,0.9828,0.9812,0.3358,,,18.0653,,,,,,,,,,,47.5393,33.1354,1.26,,,,
Calopteryx amata,2050,ssp1,0.0323,1793987,-90.1308,46.8001,220.2231,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx amata,2050,ssp2,0.0309,1699352,-90.1911,47.6872,219.0066,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx amata,2050,ssp5,0.0362,2006212,-87.0388,47.9654,220.2047,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx amata,2075,ssp1,0.0318,1692970,-90.2889,48.0267,216.2617,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx amata,2075,ssp2,0.0315,1680178,-89.5073,49.0225,217.7553,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx amata,2075,ssp5,0.0431,2435310,-83.2954,49.3117,221.1636,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx amata,2100,ssp1,0.0311,1614487,-91.5338,47.4462,221.1431,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx amata,2100,ssp2,0.026,1248635,-91.8846,50.8173,220.8089,,,,,,,,,,,,,,,,,,,,,,,
Calopteryx amata,2100,ssp5,0.0481,2611624,-79.5872,50.2896,218.8784,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina americana,2020,,0.0843,3677239,-92.5732,37.5064,1539.4514,0.8734,0.959,0.4032,8.5605,37.4912,11.4255,13.371,7.593,,4.1812,,,16.1912,,,1.1865,,,,,,,
Hetaerina americana,2050,ssp1,0.0884,3641754,-94.1513,37.8208,878.0453,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina americana,2050,ssp2,0.0975,3982106,-93.5861,38.5056,875.8051,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina americana,2050,ssp5,0.1052,4343782,-93.5944,38.6069,875.5748,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina americana,2075,ssp1,0.089,3704375,-94.0495,37.9153,876.6683,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina americana,2075,ssp2,0.1044,4273732,-93.6275,38.7425,872.4735,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina americana,2075,ssp5,0.1209,4948842,-95.0204,38.7833,868.2815,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina americana,2100,ssp1,0.0922,3767517,-94.1742,38.0269,925.4641,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina americana,2100,ssp2,0.109,4309410,-94.3051,38.6555,1042.0057,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina americana,2100,ssp5,0.1503,6485081,-95.2694,37.2871,1125.6883,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina titia,2020,,0.0362,3359150,-88.5551,35.7495,1564.5853,0.9618,0.9812,0.1728,5.1344,22.7851,5.0256,22.5293,40.214,,,,,,2.3442,,1.0585,,,,,,0.9089,
Hetaerina titia,2050,ssp1,0.0402,3720305,-89.0457,36.5672,813.4208,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina titia,2050,ssp2,0.0412,3895031,-88.9693,36.5828,824.184,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina titia,2050,ssp5,0.0497,4399586,-88.6579,37.3951,823.7419,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina titia,2075,ssp1,0.0333,3058451,-88.4145,35.7101,812.1496,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina titia,2075,ssp2,0.0461,3997732,-87.9968,37.9077,805.8124,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina titia,2075,ssp5,0.06,4954698,-88.5902,38.348,805.7736,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina titia,2100,ssp1,0.0418,3922586,-89.9431,36.43,806.0923,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina titia,2100,ssp2,0.046,4116990,-88.2552,38.0282,809.5736,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina titia,2100,ssp5,0.0668,5126319,-87.4872,39.9708,804.9699,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina vulnerata,2020,,0.0039,163693,-111.5464,35.4241,1105.8983,0.9914,0.9985,0.3542,17.8683,,21.4498,,1.8571,,28.0137,,,,,21.3755,,,,7.0664,,,2.3692,
Hetaerina vulnerata,2050,ssp1,0.0062,259540,-112.8869,35.7697,515.0572,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina vulnerata,2050,ssp2,0.002,46150,-112.0397,38.2042,517.9449,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina vulnerata,2050,ssp5,0.0052,222336,-112.9698,36.2565,510.0009,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina vulnerata,2075,ssp1,0.0076,314711,-113.208,36.025,517.4906,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina vulnerata,2075,ssp2,0.0023,45536,-111.4118,37.6202,515.874,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina vulnerata,2075,ssp5,0.0071,305096,-109.1586,37.7012,514.5986,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina vulnerata,2100,ssp1,0.0093,365123,-112.8674,36.3495,516.1259,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina vulnerata,2100,ssp2,0.0021,41327,-111.1233,37.5139,511.6748,,,,,,,,,,,,,,,,,,,,,,,
Hetaerina vulnerata,2100,ssp5,0.01,486558,-105.8162,38.2491,511.7243,,,,,,,,,,,,,,,,,,,,,,,
Libellula luctuosa,2020,,0.0981,5881689,-90.1416,38.2843,2446.4972,0.7879,0.9503,0.3452,17.4101,11.6138,4.9874,19.3416,11.1969,3.1121,9.5743,,,10.4518,2.6882,,3.7019,1.9861,,,,,,3.9357
Libellula luctuosa,2050,ssp1,0.1014,6002853,-90.3759,38.4983,1884.7677,,,,,,,,,,,,,,,,,,,,,,,
Libellula luctuosa,2050,ssp2,0.109,6353886,-90.6826,38.8022,1874.9688,,,,,,,,,,,,,,,,,,,,,,,
Libellula luctuosa,2050,ssp5,0.1153,6712953,-90.9025,38.8993,1881.1643,,,,,,,,,,,,,,,,,,,,,,,
Libellula luctuosa,2075,ssp1,0.0993,5842099,-90.1373,38.5184,1877.8058,,,,,,,,,,,,,,,,,,,,,,,
Libellula luctuosa,2075,ssp2,0.1159,6598026,-90.4237,38.9976,1894.5587,,,,,,,,,,,,,,,,,,,,,,,
Libellula luctuosa,2075,ssp5,0.1325,7623640,-91.485,39.4794,1953.6905,,,,,,,,,,,,,,,,,,,,,,,
Libellula luctuosa,2100,ssp1,0.1027,5962210,-90.579,38.5782,1912.9369,,,,,,,,,,,,,,,,,,,,,,,
Libellula luctuosa,2100,ssp2,0.1225,6814622,-90.6126,39.2089,1998.0903,,,,,,,,,,,,,,,,,,,,,,,
Libellula luctuosa,2100,ssp5,0.1552,8197789,-91.9825,39.4716,1887.569,,,,,,,,,,,,,,,,,,,,,,,
Libellula incesta,2020,,0.0607,4063511,-85.1709,37.4971,1896.392,0.8269,0.9705,0.397,,7.0461,46.0392,17.1846,9.0075,2.4719,9.2638,,,,5.0264,,3.9494,0.0109,,,,,,
Libellula incesta,2050,ssp1,0.0612,4061679,-85.2421,37.6622,1250.2869,,,,,,,,,,,,,,,,,,,,,,,
Libellula incesta,2050,ssp2,0.0618,4130062,-85.1611,37.5716,1231.2578,,,,,,,,,,,,,,,,,,,,,,,
Libellula incesta,2050,ssp5,0.0635,4378657,-85.0139,38.0086,1231.469,,,,,,,,,,,,,,,,,,,,,,,
Libellula incesta,2075,ssp1,0.061,3937117,-84.4711,38.1311,1238.3721,,,,,,,,,,,,,,,,,,,,,,,
Libellula incesta,2075,ssp2,0.0615,4055255,-84.4111,38.0558,1235.7508,,,,,,,,,,,,,,,,,,,,,,,
Libellula incesta,2075,ssp5,0.0611,3967754,-84.3654,38.0747,1233.9972,,,,,,,,,,,,,,,,,,,,,,,
